,name,address,locality,phone_number
0,Genoa Lakes Apartments,3320 E University Dr,"Mesa, AZ 85213",(480) 924-0524
1,Penny Tree Apartments,232 S Macdonald,"Mesa, AZ 85210",(480) 969-0721
2,Verona Park Apartments,1666 S Extension Rd,"Mesa, AZ 85210",(480) 831-6253
3,Argenta Apartments,4104 E Broadway Rd,"Mesa, AZ 85206",(480) 372-5805
4,Park Village Apartments,226 N Hobson,"Mesa, AZ 85203",(480) 655-7459
5,Cimarron Apartments,151 E 1st St,"Mesa, AZ 85201",(480) 962-7461
6,Courtyards Apartments,1111 S San Jose,"Mesa, AZ 85202",(480) 827-1100
7,Western Sun Apartments,615 S Williams,"Mesa, AZ 85204",(480) 898-8725
8,Saratoga Apartments,2240 W University Dr,"Mesa, AZ 85201",(480) 969-9515
9,O48 Realty,1744 S Val Vista Dr Ste 214,"Mesa, AZ 85204",(480) 369-6656
10,The Madison Apartments,520 N Mesa Dr,"Mesa, AZ 85201",(480) 649-0338
11,Glen At Mesa,1233 N Mesa Dr,"Mesa, AZ 85201",(480) 969-4773
12,Real Property Management East Valley,950 E Brown Rd,"Mesa, AZ 85203",(480) 981-7000
13,The Nolan,945 W Broadway Rd,"Mesa, AZ 85210",(480) 566-0889
14,Arizona Homes Realty,2517 E Evergreen St,"Mesa, AZ 85213",(602) 576-2636
15,Beehive Property Management,1855 E Southern Ave Ste 212,"Mesa, AZ 85204",(480) 981-1430
16,Lisa Nielsen | West USA Realty,1640 S Stapley Dr,"Mesa, AZ 85204",(602) 688-7030
17,The Maddox,2020 E Inverness Ave,"Mesa, AZ 85204",(855) 249-2747
18,Pala Mesa Apartments,2245 W Ella St,"Mesa, AZ 85201",(480) 659-1300
19,Sorrento Apartments,901 S Dobson Rd,"Mesa, AZ 85202",(480) 568-6506
20,Cobe Real Estate,2152 S Vineyard Ste 116,"Mesa, AZ 85210",(480) 610-2400
21,Craft at Gilbert & Baseline Apartments,1930 S 24th St,"Mesa, AZ 85204",(480) 454-2444
22,Valley Executives,1255 W Baseline Rd # C-184,"Mesa, AZ 85202",(480) 756-4281
23,Montero @ Dana Park,3636 E Inverness Ave,"Mesa, AZ 85206",(480) 508-8531
24,Envision Apartments,1361 S Greenfield Rd,"Mesa, AZ 85206",(480) 830-5700
25,Rentals America,4711 E Falcon Dr Ste 221,"Mesa, AZ 85215",(480) 374-5500
26,"Bastian Law Offices, PLC",1423 S Higley Rd Ste 107,"Mesa, AZ 85206",(480) 526-4614
27,Caldwell Property Solutions,2500 S Power Rd Ste 218,"Mesa, AZ 85209",(480) 834-9200
28,PMI Greater Phoenix,3514 N Power Rd,"Mesa, AZ 85215",(480) 641-9163
29,Catherine M Joyce Real Estate,3234 N 88th St,"Mesa, AZ 85207",(480) 892-4940
30,Superstition Canyon Apartments,1247 S 96th St,"Mesa, AZ 85209",(480) 357-4600
31,Cortland Mountain Vista,1304 S 105th Pl,"Mesa, AZ 85209",(480) 380-6539
32,Trestle Management,450 N Dobson Rd Ste 201,"Mesa, AZ 85201",(480) 422-0888
33,San Tan Management Group,4140 E Baseline Rd Ste 101,"Mesa, AZ 85206",(480) 813-0300
34,Superstitions Spring Community,"7235 E Hampton Ave suite 5, Mesa AZ, 85209","Mesa, AZ 85209",(480) 854-1123
35,Exceed Realty Inc,11227 E University Dr,"Mesa, AZ 85209",(480) 288-0985
36,"Reichard Realty, Inc.",1102 E University Dr Ste 4,"Mesa, AZ 85203",(480) 834-6017
37,Sunset Mesa Apartments,237 S Ashland,"Mesa, AZ 85204",(480) 292-8117
38,Desert Palms Apartments,210 E Brown Rd,"Mesa, AZ 85201",(480) 655-7772
39,Siesta Villa Apartments,1050 N Horne,"Mesa, AZ 85203",(480) 964-5862
40,"HFM Realty, Inc.",251 W Main St Ste 2,"Mesa, AZ 85201",(480) 649-8710
41,Arbor On Broadway Apt,660 E Broadway Rd,"Mesa, AZ 85204",(480) 969-5215
42,El Madrid Apartments,425 N Vineyard,"Mesa, AZ 85201",(480) 969-6750
43,R L Wood & Co Realtors,1550 E University Dr Ste K,"Mesa, AZ 85203",(480) 964-1745
44,Legacy on Main Apartments,118 N Extension Rd,"Mesa, AZ 85201",(480) 649-5673
45,Shadow Run Apartments,56 N Extension Rd,"Mesa, AZ 85201",(480) 827-0509
46,Covina Court Apartments,1821 E Covina St Ofc,"Mesa, AZ 85203",(480) 962-1237
47,Spanish Arcos Apartments,250 W 10th Ave,"Mesa, AZ 85210",(480) 610-1318
48,Dartmoor Apartments,310 N Alma School Rd,"Mesa, AZ 85201",(480) 962-7863
49,Southbank Apartments,214 N Gilbert Rd,"Mesa, AZ 85203",(480) 827-9325
50,Chelsea Apartments,57 N Alma School Rd Ofc,"Mesa, AZ 85201",(480) 969-6904
51,Centro Properties,1251 E Southern Ave,"Mesa, AZ 85204",(480) 497-7253
52,Mesa Realty Inc,1461 E Garnet Ave,"Mesa, AZ 85204",(480) 507-8066
53,First USA Realty Professionals,1818 E Southern Ave Ste B,"Mesa, AZ 85204",(480) 211-3222
54,Kimco Realty Corp,1061 N Dobson Rd,"Mesa, AZ 85201",(480) 461-0051
55,Sandstone Apartments,1727 W Emelita Ave,"Mesa, AZ 85202",(480) 827-0173
56,Showtime Realty,2454 E Southern Ave Ste 101,"Mesa, AZ 85204",(480) 588-8010
57,Sycamore Shadows Apartments,1120 S Sycamore,"Mesa, AZ 85202",(480) 964-4892
58,Desert View Apartments,3030 E Broadway Rd,"Mesa, AZ 85204",(480) 641-5177
59,Remax 100 Realtors / Larry O'Neill,1839 S Alma School Rd Ste 200,"Mesa, AZ 85210",(480) 820-0500
